,player,college,birth_state,college_state
0,Cliff Barker,University of Kentucky,Indiana,Kentucky
1,Ralph Beard,University of Kentucky,Kentucky,Kentucky
3,Alex Groza,University of Kentucky,Ohio,Kentucky
5,Paul Noel,University of Kentucky,Kentucky,Kentucky
6,Jack Parkinson,University of Kentucky,Indiana,Kentucky
7,Kenny Rollins,University of Kentucky,Missouri,Kentucky
8,Frank Ramsey*,University of Kentucky,Kentucky,Kentucky
9,Bobby Watson,University of Kentucky,Kentucky,Kentucky
11,Bob Burrow,University of Kentucky,Arkansas,Kentucky
12,Cliff Hagan*,University of Kentucky,Kentucky,Kentucky
13,Lou Tsioropoulos,University of Kentucky,Massachusetts,Kentucky
14,Jerry Bird,University of Kentucky,Kentucky,Kentucky
15,Vern Hatton,University of Kentucky,Kentucky,Kentucky
16,Adrian Smith,University of Kentucky,Kentucky,Kentucky
17,Johnny Cox,University of Kentucky,Kentucky,Kentucky
18,Wali Jones,University of Kentucky,Kentucky,Kentucky
19,Cotton Nash,University of Kentucky,New Jersey,Kentucky
21,Pat Riley*,University of Kentucky,New York,Kentucky
23,Larry Steele,University of Kentucky,Indiana,Kentucky
24,Kevin Grevey,University of Kentucky,Ohio,Kentucky
25,Louie Dampier*,University of Kentucky,Indiana,Kentucky
27,Dan Issel*,University of Kentucky,Illinois,Kentucky
28,Larry Johnson,University of Kentucky,Kentucky,Kentucky
29,Jack Givens,University of Kentucky,Kentucky,Kentucky
30,Rick Robey,University of Kentucky,Florida,Kentucky
31,Kyle Macy,University of Kentucky,Indiana,Kentucky
32,Sam Bowie,University of Kentucky,Pennsylvania,Kentucky
33,Melvin Turpin,University of Kentucky,Kentucky,Kentucky
34,Dirk Minniefield,University of Kentucky,Kentucky,Kentucky
35,Kenny Walker,University of Kentucky,Georgia,Kentucky
36,Rex Chapman,University of Kentucky,Kentucky,Kentucky
37,Rob Lock,University of Kentucky,California,Kentucky
38,Winston Bennett,University of Kentucky,Kentucky,Kentucky
39,Jamal Mashburn,University of Kentucky,New York,Kentucky
40,Tony Delk,University of Kentucky,Tennessee,Kentucky
41,Walter McCarty,University of Kentucky,Indiana,Kentucky
42,Derek Anderson,University of Kentucky,Kentucky,Kentucky
43,Reggie Hanson,University of Kentucky,North Carolina,Kentucky
44,Ron Mercer,University of Kentucky,Tennessee,Kentucky
45,Mark Pope,University of Kentucky,Nebraska,Kentucky
46,Nazr Mohammed,University of Kentucky,Illinois,Kentucky
47,Jeffrey Sheppard,University of Kentucky,Georgia,Kentucky
48,Scott Padgett,University of Kentucky,Kentucky,Kentucky
49,Wayne Turner,University of Kentucky,Massachusetts,Kentucky
51,Tayshaun Prince,University of Kentucky,California,Kentucky
52,Keith Bogans,University of Kentucky,Virginia,Kentucky
53,Erik Daniels,University of Kentucky,Ohio,Kentucky
54,Gerald Fitch,University of Kentucky,Georgia,Kentucky
55,Chuck Hayes,University of Kentucky,California,Kentucky
57,Randolph Morris,University of Kentucky,Texas,Kentucky
58,Rajon Rondo,University of Kentucky,Kentucky,Kentucky
59,Joe Crawford,University of Kentucky,Michigan,Kentucky
60,Jodie Meeks,University of Kentucky,Georgia,Kentucky
61,Eric Bledsoe,University of Kentucky,Alabama,Kentucky
62,DeMarcus Cousins,University of Kentucky,Alabama,Kentucky
63,Jordan Crawford,University of Kentucky,Michigan,Kentucky
64,Patrick Patterson,University of Kentucky,District of Columbia,Kentucky
65,John Wall,University of Kentucky,North Carolina,Kentucky
66,Josh Harrellson,University of Kentucky,Missouri,Kentucky
67,DeAndre Liggins,University of Kentucky,Illinois,Kentucky
68,Daniel Orton,University of Kentucky,Oklahoma,Kentucky
69,Kemba Walker,University of Kentucky,Georgia,Kentucky
70,Terrence Jones,University of Kentucky,Oregon,Kentucky
71,Michael Kidd-Gilchrist,University of Kentucky,Pennsylvania,Kentucky
72,Doron Lamb,University of Kentucky,New York,Kentucky
73,Darius Miller,University of Kentucky,Kentucky,Kentucky
74,Marquis Teague,University of Kentucky,Indiana,Kentucky
75,Archie Goodwin,University of Kentucky,Arkansas,Kentucky
76,Nerlens Noel,University of Kentucky,Massachusetts,Kentucky
77,Julius Randle,University of Kentucky,Texas,Kentucky
78,James Young,University of Kentucky,Michigan,Kentucky
79,Devin Booker,University of Kentucky,Michigan,Kentucky
80,Willie Cauley-Stein,University of Kentucky,Kansas,Kentucky
81,Aaron Harrison,University of Kentucky,Texas,Kentucky
83,Karl-Anthony Towns,University of Kentucky,New Jersey,Kentucky
84,Andrew Harrison,University of Kentucky,Texas,Kentucky
87,Alex Poythress,University of Kentucky,Georgia,Kentucky
88,Tyler Ulis,University of Kentucky,Michigan,Kentucky
90,Fran Curran,University of Notre Dame,Illinois,Indiana
93,Leo Klier,University of Notre Dame,Indiana,Indiana
94,Richie Niemiera,University of Notre Dame,Illinois,Indiana
96,Kevin O'Shea,University of Notre Dame,California,Indiana
99,Tom Hawkins,University of Notre Dame,Illinois,Indiana
100,Ron Reed,University of Notre Dame,Indiana,Indiana
101,Jay Miller,University of Notre Dame,Missouri,Indiana
102,Bob Arnzen,University of Notre Dame,Kentucky,Indiana
103,Austin Carr,University of Notre Dame,District of Columbia,Indiana
105,Gary Brokaw,University of Notre Dame,New Jersey,Indiana
106,John Shumate,University of Notre Dame,South Carolina,Indiana
107,Adrian Dantley*,University of Notre Dame,District of Columbia,Indiana
108,Toby Knight,University of Notre Dame,New York,Indiana
109,Duck Williams,University of Notre Dame,Alabama,Indiana
110,Bill Hanzlik,University of Notre Dame,Ohio,Indiana
111,Bill Laimbeer,University of Notre Dame,Massachusetts,Indiana
112,Tracy Jackson,University of Notre Dame,Maryland,Indiana
113,Kelly Tripucka,University of Notre Dame,New Jersey,Indiana
114,Orlando Woolridge,University of Notre Dame,Louisiana,Indiana
115,Dave Batton,University of Notre Dame,Maryland,Indiana
116,Bruce Flowers,University of Notre Dame,New York,Indiana
117,John Paxson,University of Notre Dame,Ohio,Indiana
118,Tom Sluby,University of Notre Dame,District of Columbia,Indiana
119,Tim Kempton,University of Notre Dame,New York,Indiana
120,David Rivers,University of Notre Dame,New Jersey,Indiana
121,Donald Royal,University of Notre Dame,Louisiana,Indiana
123,LaPhonso Ellis,University of Notre Dame,Illinois,Indiana
124,Keith Tower,University of Notre Dame,Montana,Indiana
125,Elmer Bennett,University of Notre Dame,Illinois,Indiana
126,Monty Williams,University of Notre Dame,Virginia,Indiana
127,Pat Garrity,University of Notre Dame,Nevada,Indiana
128,Troy Murphy,University of Notre Dame,New Jersey,Indiana
129,Ryan Humphrey,University of Notre Dame,Oklahoma,Indiana
130,Matt Carroll,University of Notre Dame,Pennsylvania,Indiana
131,Mo Williams,University of Notre Dame,Virginia,Indiana
132,Chris Quinn,University of Notre Dame,Louisiana,Indiana
133,Rob Kurz,University of Notre Dame,Pennsylvania,Indiana
134,Luke Harangody,University of Notre Dame,Illinois,Indiana
135,Ben Hansbrough,University of Notre Dame,Missouri,Indiana
136,Luke Zeller,University of Notre Dame,Iowa,Indiana
137,Jack Cooley,University of Notre Dame,Illinois,Indiana
138,Pat Connaughton,University of Notre Dame,Massachusetts,Indiana
139,Demetrius Jackson,University of Notre Dame,Indiana,Indiana
141,Don Kojis,Marquette University,Wisconsin,Wisconsin
142,Joe Thomas,Marquette University,Georgia,Wisconsin
143,Dean Meminger,Marquette University,South Carolina,Wisconsin
144,Larry McNeill,Marquette University,North Carolina,Wisconsin
145,Jim Chones,Marquette University,Wisconsin,Wisconsin
146,George Thompson,Marquette University,New York,Wisconsin
147,Maurice Lucas,Marquette University,Pennsylvania,Wisconsin
148,Earl Tatum,Marquette University,New York,Wisconsin
149,Lloyd Walton,Marquette University,Illinois,Wisconsin
151,Jerome Whitehead,Marquette University,Illinois,Wisconsin
152,Bernard Toone,Marquette University,New York,Wisconsin
153,Sam Worthen,Marquette University,New York,Wisconsin
154,Doc Rivers,Marquette University,Illinois,Wisconsin
155,Michael Wilson,Marquette University,Tennessee,Wisconsin
156,Tom Copa,Marquette University,Minnesota,Wisconsin
157,Jim McIlvaine,Marquette University,Wisconsin,Wisconsin
158,Amal McCaskill,Marquette University,Illinois,Wisconsin
159,Chris Crawford,Marquette University,Michigan,Wisconsin
160,John Thomas,Marquette University,Georgia,Wisconsin
161,Dwyane Wade,Marquette University,Illinois,Wisconsin
162,Travis Diener,Marquette University,Wisconsin,Wisconsin
163,Steve Novak,Marquette University,Illinois,Wisconsin
164,Lazar Hayward,Marquette University,New York,Wisconsin
165,Jimmy Butler,Marquette University,Texas,Wisconsin
166,Jae Crowder,Marquette University,Georgia,Wisconsin
167,Vander Blue,Marquette University,Wisconsin,Wisconsin
168,Dwight Buycks,Marquette University,Wisconsin,Wisconsin
169,Jerel McNeal,Marquette University,Illinois,Wisconsin
170,Henry Ellenson,Marquette University,Wisconsin,Wisconsin
171,Charlie Black,University of Kansas,Idaho,Kansas
172,Clyde Lovellette*,University of Kansas,Indiana,Kansas
173,Wilt Chamberlain*,University of Kansas,Pennsylvania,Kansas
175,Bill Bridges,University of Kansas,New Mexico,Kansas
176,Wayne Hightower,University of Kansas,Pennsylvania,Kansas
177,Walt Wesley,University of Kansas,Florida,Kansas
178,Bud Stallworth,University of Kansas,Alabama,Kansas
179,Norm Cook,University of Kansas,Illinois,Kansas
180,Dave Robisch,University of Kansas,Ohio,Kansas
181,Paul Mokeski,University of Kansas,Washington,Kansas
182,John Douglas,University of Kansas,Alabama,Kansas
183,Darnell Valentine,University of Kansas,Illinois,Kansas
184,Dave Magley,University of Kansas,Indiana,Kansas
185,Carl Henry,University of Kansas,Oklahoma,Kansas
186,Brian Martin,University of Kansas,Arkansas,Kansas
187,Greg Dreiling,University of Kansas,Kansas,Kansas
188,Danny Manning,University of Kansas,Mississippi,Kansas
189,Rick Calloway,University of Kansas,Ohio,Kansas
190,Kevin Pritchard,University of Kansas,Indiana,Kansas
191,Cedric Hunter,University of Kansas,Texas,Kansas
192,Mark Randall,University of Kansas,Minnesota,Kansas
193,Adonis Jordan,University of Kansas,New York,Kansas
194,Rex Walters,University of Kansas,Nebraska,Kansas
195,Darrin Hancock,University of Kansas,Alabama,Kansas
196,Greg Ostertag,University of Kansas,Texas,Kansas
197,Scot Pollard,University of Kansas,Utah,Kansas
198,Jacque Vaughn,University of Kansas,California,Kansas
199,Raef LaFrentz,University of Kansas,Iowa,Kansas
200,Paul Pierce,University of Kansas,California,Kansas
201,Ryan Robertson,University of Kansas,Oklahoma,Kansas
202,Drew Gooden,University of Kansas,California,Kansas
203,Kirk Hinrich,University of Kansas,Iowa,Kansas
204,Nick Collison,University of Kansas,Iowa,Kansas
205,Billy Thomas,University of Kansas,Louisiana,Kansas
206,Aaron Miles,University of Kansas,Oregon,Kansas
207,Wayne Simien,University of Kansas,Kansas,Kansas
208,Keith Langford,University of Kansas,Texas,Kansas
209,Julian Wright,University of Kansas,Illinois,Kansas
210,Darrell Arthur,University of Kansas,Texas,Kansas
211,Mario Chalmers,University of Kansas,Alaska,Kansas
212,Darnell Jackson,University of Kansas,Oklahoma,Kansas
213,Brandon Rush,University of Kansas,Missouri,Kansas
214,Cole Aldrich,University of Kansas,Minnesota,Kansas
215,Sherron Collins,University of Kansas,Illinois,Kansas
217,Josh Selby,University of Kansas,Maryland,Kansas
218,Thomas Robinson,University of Kansas,District of Columbia,Kansas
219,Tyshawn Taylor,University of Kansas,New Jersey,Kansas
220,Ben McLemore,University of Kansas,Missouri,Kansas
221,Jeff Withey,University of Kansas,California,Kansas
222,Tarik Black,University of Kansas,Tennessee,Kansas
224,Cliff Alexander,University of Kansas,Illinois,Kansas
226,Kelly Oubre,University of Kansas,Louisiana,Kansas
229,Wayne Selden,University of Kansas,Massachusetts,Kansas
230,Nelson Bobb,Temple University,Pennsylvania,Pennsylvania
231,Jerry Rullo,Temple University,Pennsylvania,Pennsylvania
232,Ike Borsavage,Temple University,Pennsylvania,Pennsylvania
233,Bill Mlkvy,Temple University,Pennsylvania,Pennsylvania
234,Hal Lear,Temple University,Pennsylvania,Pennsylvania
235,Guy Rodgers*,Temple University,Pennsylvania,Pennsylvania
236,Pickles Kennedy,Temple University,Pennsylvania,Pennsylvania
237,Johnny Baum,Temple University,Pennsylvania,Pennsylvania
238,Eddie Mast,Temple University,Pennsylvania,Pennsylvania
239,Ollie Johnson,Temple University,Pennsylvania,Pennsylvania
240,Jerry Baskerville,Temple University,Pennsylvania,Pennsylvania
241,Terence Stansbury,Temple University,Delaware,Pennsylvania
242,Nate Blackwell,Temple University,Pennsylvania,Pennsylvania
243,Tim Perry,Temple University,New Jersey,Pennsylvania
245,Duane Causwell,Temple University,New York,Pennsylvania
246,Donald Hodge,Temple University,District of Columbia,Pennsylvania
247,Mark Macon,Temple University,Michigan,Pennsylvania
248,Aaron McKie,Temple University,Pennsylvania,Pennsylvania
249,Mark Strickland,Temple University,Georgia,Pennsylvania
250,Rick Brunson,Temple University,New York,Pennsylvania
251,William Cunningham,Temple University,Georgia,Pennsylvania
253,Mardy Collins,Temple University,Pennsylvania,Pennsylvania
254,Lynn Greer,Temple University,Pennsylvania,Pennsylvania
255,Lavoy Allen,Temple University,Pennsylvania,Pennsylvania
256,Dionte Christmas,Temple University,Pennsylvania,Pennsylvania
257,Jake Bornheimer,Muhlenberg College,New Jersey,Pennsylvania
258,Harry Donovan,Muhlenberg College,New Jersey,Pennsylvania
259,Vince Boryla,University of Denver,Indiana,Colorado
261,Byron Beck,University of Denver,Washington,Colorado
262,Don Boven,Western Michigan University,Michigan,Michigan
263,Dillard Crocker,Western Michigan University,Tennessee,Michigan
264,Paul Griffin,Western Michigan University,Michigan,Michigan
265,Walker Russell,Western Michigan University,Michigan,Michigan
266,Ben Handlogten,Western Michigan University,Michigan,Michigan
267,Shayne Whittington,Western Michigan University,Michigan,Michigan
269,Matt Mazza,Michigan State University,New York,Michigan
270,Al Ferrari,Michigan State University,New York,Michigan
271,Bob Armstrong,Michigan State University,Michigan,Michigan
272,Bob Anderegg,Michigan State University,Wisconsin,Michigan
273,Johnny Green,Michigan State University,Ohio,Michigan
275,Horace Walker,Michigan State University,Pennsylvania,Michigan
276,Lindsay Hairston,Michigan State University,Michigan,Michigan
277,Terry Furlow,Michigan State University,Michigan,Michigan
278,Ralph Simpson,Michigan State University,Michigan,Michigan
279,Greg Kelser,Michigan State University,Florida,Michigan
280,Jay Vincent,Michigan State University,Michigan,Michigan
281,Ken Johnson,Michigan State University,Alabama,Michigan
282,Sam Vincent,Michigan State University,Michigan,Michigan
283,Scott Skiles,Michigan State University,Indiana,Michigan
284,Kevin Johnson,Michigan State University,Alabama,Michigan
285,Steve Smith,Michigan State University,Michigan,Michigan
286,Mike Peplowski,Michigan State University,Michigan,Michigan
287,Anthony Miller,Michigan State University,Michigan,Michigan
288,Shawn Respert,Michigan State University,Michigan,Michigan
289,Eric Snow,Michigan State University,Ohio,Michigan
290,Jamie Feick,Michigan State University,Ohio,Michigan
291,Stevin Smith,Michigan State University,Michigan,Michigan
292,Matt Steigenga,Michigan State University,Michigan,Michigan
293,Andre Miller,Michigan State University,Michigan,Michigan
294,Mateen Cleaves,Michigan State University,Michigan,Michigan
295,Morris Peterson,Michigan State University,Michigan,Michigan
296,Charlie Bell,Michigan State University,Michigan,Michigan
297,Zach Randolph,Michigan State University,Indiana,Michigan
298,Jason Richardson,Michigan State University,Michigan,Michigan
299,Alan Anderson,Michigan State University,Minnesota,Michigan
300,Maurice Ager,Michigan State University,Michigan,Michigan
301,Shannon Brown,Michigan State University,Illinois,Michigan
302,Paul Davis,Michigan State University,Michigan,Michigan
303,Steven Smith,Michigan State University,Michigan,Michigan
304,Draymond Green,Michigan State University,Michigan,Michigan
305,Gary Harris,Michigan State University,Indiana,Michigan
306,Kalin Lucas,Michigan State University,Michigan,Michigan
307,Adreian Payne,Michigan State University,Ohio,Michigan
308,Keith Appling,Michigan State University,Michigan,Michigan
309,Branden Dawson,Michigan State University,Indiana,Michigan
310,Deyonta Davis,Michigan State University,Michigan,Michigan
311,Bryn Forbes,Michigan State University,Michigan,Michigan
312,Denzel Valentine,Michigan State University,Michigan,Michigan
313,Carl Braun,Colgate University,New York,New York
317,Dike Eddleman,University of Illinois at Urbana-Champaign,Illinois,Illinois
318,Walt Kirk,University of Illinois at Urbana-Champaign,Illinois,Illinois
321,Andy Phillip*,University of Illinois at Urbana-Champaign,Illinois,Illinois
322,Jack Smiley,University of Illinois at Urbana-Champaign,Illinois,Illinois
326,Don Sunderlage,University of Illinois at Urbana-Champaign,Illinois,Illinois
327,Red Kerr,University of Illinois at Urbana-Champaign,Illinois,Illinois
328,Don Ohl,University of Illinois at Urbana-Champaign,Illinois,Illinois
330,Mike Price,University of Illinois at Urbana-Champaign,Kentucky,Illinois
331,Nick Weatherspoon,University of Illinois at Urbana-Champaign,Mississippi,Illinois
332,Donnie Freeman,University of Illinois at Urbana-Champaign,Illinois,Illinois
333,Derek Harper,University of Illinois at Urbana-Champaign,Georgia,Illinois
334,Bruce Douglas,University of Illinois at Urbana-Champaign,Illinois,Illinois
335,Ken Norman,University of Illinois at Urbana-Champaign,Illinois,Illinois
336,Nick Anderson,University of Illinois at Urbana-Champaign,Illinois,Illinois
337,Kenny Battle,University of Illinois at Urbana-Champaign,Illinois,Illinois
338,Scott Meents,University of Illinois at Urbana-Champaign,Illinois,Illinois
339,Kendall Gill,University of Illinois at Urbana-Champaign,Illinois,Illinois
340,Marcus Liberty,University of Illinois at Urbana-Champaign,Illinois,Illinois
341,Steve Bardo,University of Illinois at Urbana-Champaign,Kentucky,Illinois
342,Kiwane Garris,University of Illinois at Urbana-Champaign,Illinois,Illinois
344,Brian Cook,University of Illinois at Urbana-Champaign,Illinois,Illinois
345,Luther Head,University of Illinois at Urbana-Champaign,Illinois,Illinois
346,Deron Williams,University of Illinois at Urbana-Champaign,West Virginia,Illinois
347,James Augustine,University of Illinois at Urbana-Champaign,Illinois,Illinois
348,Roger Powell,University of Illinois at Urbana-Champaign,Illinois,Illinois
349,Derrick Williams,University of Illinois at Urbana-Champaign,West Virginia,Illinois
350,Meyers Leonard,University of Illinois at Urbana-Champaign,Virginia,Illinois
351,Tommy Byrnes,Seton Hall University,New Jersey,New Jersey
352,Bob Davies*,Seton Hall University,Pennsylvania,New Jersey
356,Ed Sadowski,Seton Hall University,Pennsylvania,New Jersey
358,Bobby Wanzer*,Seton Hall University,New York,New Jersey
359,Walter Dukes,Seton Hall University,New York,New Jersey
360,Richie Regan,Seton Hall University,New Jersey,New Jersey
361,Glenn Mosley,Seton Hall University,New Jersey,New Jersey
362,Mark Bryant,Seton Hall University,New Jersey,New Jersey
363,John Morton,Seton Hall University,New York,New Jersey
364,Anthony Avent,Seton Hall University,North Carolina,New Jersey
365,Terry Dehere,Seton Hall University,New York,New Jersey
367,Luther Wright,Seton Hall University,New Jersey,New Jersey
368,Adrian Griffin,Seton Hall University,Kansas,New Jersey
370,Eddie Griffin,Seton Hall University,Pennsylvania,New Jersey
371,Andre Barrett,Seton Hall University,New York,New Jersey
372,Isaiah Whitehead,Seton Hall University,New York,New Jersey
373,Bill Calhoun,City College of San Francisco,California,California
374,Leroy Chollet,Canisius College,Louisiana,New York
376,Herm Hedderick,Canisius College,Pennsylvania,New York
379,Larry Fogle,Canisius College,New York,New York
381,Antonio Anderson,Canisius College,New York,New York
382,Bill Closs,Rice University,Texas,Texas
383,Bill Henry,Rice University,Texas,Texas
384,Bob Kinney,Rice University,Kansas,Texas
385,Ricky Pierce,Rice University,Texas,Texas
386,Ken Austin,Rice University,California,Texas
387,Brent Scott,Rice University,Michigan,Texas
388,Mike Wilks,Rice University,Wisconsin,Texas
389,Morris Almond,Rice University,Georgia,Texas
390,Mike Harris,Rice University,Texas,Texas
391,Jack Coleman,University of Louisville,Kentucky,Kentucky
395,Charlie Tyra,University of Louisville,Kentucky,Kentucky
396,Phil Rollins,University of Louisville,Kentucky,Kentucky
398,Wes Unseld*,University of Louisville,Kentucky,Kentucky
399,Butch Beard,University of Louisville,Kentucky,Kentucky
400,Jim Price,University of Louisville,Kentucky,Kentucky
401,Junior Bridgeman,University of Louisville,Indiana,Kentucky
402,Allen Murphy,University of Louisville,Alabama,Kentucky
403,Phil Bond,University of Louisville,Kentucky,Kentucky
404,Wesley Cox,University of Louisville,Kentucky,Kentucky
405,Rick Wilson,University of Louisville,Kentucky,Kentucky
406,Darrell Griffith,University of Louisville,Kentucky,Kentucky
407,Roger Burkman,University of Louisville,Indiana,Kentucky
408,Jerry Eaves,University of Louisville,Kentucky,Kentucky
409,Rodney McCray,University of Louisville,New York,Kentucky
410,Scooter McCray,University of Louisville,New York,Kentucky
411,Lancaster Gordon,University of Louisville,Mississippi,Kentucky
412,Billy Thompson,University of Louisville,New Jersey,Kentucky
413,Milt Wagner,University of Louisville,New Jersey,Kentucky
414,Ricky Wilson,University of Louisville,Kentucky,Kentucky
415,Pervis Ellison,University of Louisville,Georgia,Kentucky
416,Kenny Payne,University of Louisville,Mississippi,Kentucky
417,Felton Spencer,University of Louisville,Kentucky,Kentucky
418,Jerome Harmon,University of Louisville,Indiana,Kentucky
419,Greg Minor,University of Louisville,Georgia,Kentucky
420,Dwayne Morton,University of Louisville,Kentucky,Kentucky
421,Clifford Rozier,University of Louisville,Florida,Kentucky
422,Samaki Walker,University of Louisville,Ohio,Kentucky
423,DeJuan Wheat,University of Louisville,Kentucky,Kentucky
424,Alvin Sims,University of Louisville,Kentucky,Kentucky
425,Reece Gaines,University of Louisville,Wisconsin,Kentucky
427,Earl Clark,University of Louisville,New Jersey,Kentucky
428,Terrence Williams,University of Louisville,Washington,Kentucky
430,Jerry Smith,University of Louisville,Wisconsin,Kentucky
432,Peyton Siva,University of Louisville,Washington,Kentucky
433,Russ Smith,University of Louisville,New York,Kentucky
434,Montrezl Harrell,University of Louisville,North Carolina,Kentucky
435,Terry Rozier,University of Louisville,Ohio,Kentucky
436,Chinanu Onuaku,University of Louisville,Maryland,Kentucky
438,John Mahnken,Georgetown University,New Jersey,District of Columbia
439,Tommy O'Keefe,Georgetown University,New Jersey,District of Columbia
441,John Duren,Georgetown University,District of Columbia,District of Columbia
442,Craig Shelton,Georgetown University,District of Columbia,District of Columbia
443,Sleepy Floyd,Georgetown University,North Carolina,District of Columbia
445,Bill Martin,Georgetown University,District of Columbia,District of Columbia
446,David Wingate,Georgetown University,Maryland,District of Columbia
447,Reggie Williams,Georgetown University,Maryland,District of Columbia
448,Ben Gillery,Georgetown University,Michigan,District of Columbia
449,Jaren Jackson,Georgetown University,Louisiana,District of Columbia
451,Alonzo Mourning*,Georgetown University,Virginia,District of Columbia
452,Robert Churchwell,Georgetown University,Indiana,District of Columbia
453,Don Reid,Georgetown University,District of Columbia,District of Columbia
454,Othella Harrington,Georgetown University,Mississippi,District of Columbia
455,Allen Iverson*,Georgetown University,Virginia,District of Columbia
456,Jerome Williams,Georgetown University,District of Columbia,District of Columbia
457,Jahidi White,Georgetown University,Missouri,District of Columbia
459,Mike Sweetney,Georgetown University,Maryland,District of Columbia
460,James White,Georgetown University,Missouri,District of Columbia
461,Roy Hibbert,Georgetown University,New York,District of Columbia
462,DaJuan Summers,Georgetown University,Maryland,District of Columbia
464,Greg Monroe,Georgetown University,Louisiana,District of Columbia
465,Henry Sims,Georgetown University,Maryland,District of Columbia
466,Otto Porter,Georgetown University,Missouri,District of Columbia
467,Hollis Thompson,Georgetown University,California,District of Columbia
468,Jack Cotton,University of Wyoming,Montana,Wyoming
471,George Nostrand,University of Wyoming,New York,Wyoming
472,Bill Roberts,University of Wyoming,Indiana,Wyoming
473,Kenny Sailors,University of Wyoming,Nebraska,Wyoming
475,Floyd Volker,University of Wyoming,Wyoming,Wyoming
476,John Pilch,University of Wyoming,Wyoming,Wyoming
479,Flynn Robinson,University of Wyoming,Illinois,Wyoming
481,Charles Bradley,University of Wyoming,Maryland,Wyoming
482,Chris Engler,University of Wyoming,Minnesota,Wyoming
483,Fennis Dembo,University of Wyoming,Alabama,Wyoming
484,Eric Leckner,University of Wyoming,California,Wyoming
485,Tim Breaux,University of Wyoming,Louisiana,Wyoming
486,Reggie Slater,University of Wyoming,Texas,Wyoming
487,Theo Ratliff,University of Wyoming,Alabama,Wyoming
488,James Cotton,University of Wyoming,Montana,Wyoming
489,Justin Williams,University of Wyoming,Illinois,Wyoming
490,Chink Crossin,University of Pennsylvania,Pennsylvania,Pennsylvania
491,Jack McCloskey,University of Pennsylvania,Pennsylvania,Pennsylvania
492,Ernie Beck,University of Pennsylvania,Pennsylvania,Pennsylvania
493,Dave Wohl,University of Pennsylvania,New York,Pennsylvania
494,Corky Calhoun,University of Pennsylvania,Illinois,Pennsylvania
495,Phil Hankinson,University of Pennsylvania,Georgia,Pennsylvania
496,Bob Bigelow,University of Pennsylvania,Massachusetts,Pennsylvania
497,Tony Price,University of Pennsylvania,New York,Pennsylvania
498,Jerome Allen,University of Pennsylvania,Pennsylvania,Pennsylvania
499,Matt Maloney,University of Pennsylvania,Maryland,Pennsylvania
500,Ira Bowman,University of Pennsylvania,New Jersey,Pennsylvania
502,Harry Gallatin*,Truman State University,Illinois,Missouri
504,Jerry Fleishman,New York University,New York,New York
505,Ray Lumpp,New York University,New York,New York
507,Dolph Schayes*,New York University,New York,New York
508,Jim Brasco,New York University,New York,New York
509,Dick Bunt,New York University,New York,New York
511,Cal Ramsey,New York University,Alabama,New York
512,Tom Sanders*,New York University,New York,New York
513,Happy Hairston,New York University,North Carolina,New York
514,Barry Kramer,New York University,New York,New York
516,Stan McKenzie,New York University,Florida,New York
517,Jonathon Simmons,New York University,Alabama,New York
518,Bob Evans,Butler University,Indiana,Indiana
519,Ralph O'Brien,Butler University,Kentucky,Indiana
520,Gordon Hayward,Butler University,Indiana,Indiana
521,Shelvin Mack,Butler University,Kentucky,Indiana
522,Johnny Ezersky,University of Rhode Island,New York,Rhode Island
523,Claude English,University of Rhode Island,Georgia,Rhode Island
524,Sly Williams,University of Rhode Island,Connecticut,Rhode Island
525,Tom Garrick,University of Rhode Island,Rhode Island,Rhode Island
526,Cuttino Mobley,University of Rhode Island,Pennsylvania,Rhode Island
527,Tyson Wheeler,University of Rhode Island,Connecticut,Rhode Island
528,Lamar Odom,University of Rhode Island,New York,Rhode Island
529,Bob Feerick,Santa Clara University,California,California
530,Bruce Hale,Santa Clara University,Oregon,California
531,Dick O'Keefe,Santa Clara University,California,California
532,Kenny Sears,Santa Clara University,California,California
533,Bud Ogden,Santa Clara University,California,California
534,Dennis Awtrey,Santa Clara University,California,California
536,Kurt Rambis,Santa Clara University,California,California
537,Harold Keeling,Santa Clara University,Louisiana,California
538,Nick Vanos,Santa Clara University,California,California
540,Marlon Garnett,Santa Clara University,California,California
541,Arnie Ferrin,University of Utah,Utah,Utah
542,Vern Gardner,University of Utah,Wyoming,Utah
543,Gary Bergen,University of Utah,Missouri,Utah
544,Bill McGill,University of Utah,Texas,Utah
545,Jerry Chambers,University of Utah,District of Columbia,Utah
546,Mike Newlin,University of Utah,Oregon,Utah
547,Mike Sojourner,University of Utah,Pennsylvania,Utah
548,Ticky Burden,University of Utah,Florida,Utah
549,Jeff Judkins,University of Utah,Utah,Utah
550,Greg Deane,University of Utah,California,Utah
551,Tom Chambers,University of Utah,Utah,Utah
552,Danny Vranes,University of Utah,Utah,Utah
554,Pace Mannion,University of Utah,Utah,Utah
555,Kelvin Upshaw,University of Utah,Illinois,Utah
556,Josh Grant,University of Utah,Utah,Utah
557,Michael Doleac,University of Utah,Texas,Utah
559,Britton Johnsen,University of Utah,Utah,Utah
561,Delon Wright,University of Utah,California,Utah
562,Brice Johnson,University of Utah,Utah,Utah
564,Joe Fulks*,Murray State University,Kentucky,Kentucky
565,Dick Cunningham,Murray State University,Ohio,Kentucky
